id,season,match_no,date,player_name,O,M,R,W,ECON,WD,NB
45,2017/18,41st, Dec 6 2017,Abu Hider,4,0,23,2,5.75,0,0
44,2017/18,42nd, Dec 6 2017,Hasan Ali,4,0,35,2,8.75,1,0
43,2017/18,"Eliminator,", Dec 8 2017,Jofra Archer,4,0,30,2,7.50,4,0
412,2017/18,34th,Nov 29 2017,Dwayne Bravo,4,0,31,3,7.75,2,0
410,2017/18,36th, Dec 2 2017,Shahid Afridi,3,0,37,1,12.33,1,0
48,2017/18,38th, Dec 3 2017,Nahidul Islam,3,0,16,1,5.33,1,0
46,2017/18,40th, Dec 5 2017,Al-Amin,1,0,22,0,22.00,0,0
420,2017/18,26th,Nov 24 2017,Stiaan van Zyl,2,0,14,2,7.00,0,0
418,2017/18,28th,Nov 25 2017,Tanbir Hayder,2,0,14,1,7.00,0,0
41,2017/18,Qualifier,0 - 11 2017,Isuru Udana,4,0,24,2,6.00,5,0
42,2017/18,Qualifier, Dec 8 2017,Shahid Afridi,4,1,16,3,4.00,0,0
146,2012/13,1st,Jan 18 2013,Mosharraf Hossain,4,1,9,4,2.25,0,0
45,2017/18,41st, Dec 6 2017,Mohammad Amir,4,0,15,1,3.75,1,0
44,2017/18,42nd, Dec 6 2017,Graeme Cremer,4,0,15,3,3.75,0,0
43,2017/18,"Eliminator,", Dec 8 2017,Mohammad Irfan,2,0,25,0,12.50,0,1
412,2017/18,34th,Nov 29 2017,Mohammad Saifuddin,3,0,18,2,6.00,0,0
410,2017/18,36th, Dec 2 2017,Abu Hider,2,0,18,0,9.00,1,0
48,2017/18,38th, Dec 3 2017,Nazmul Islam,3,0,19,1,6.33,0,0
46,2017/18,40th, Dec 5 2017,Luis Reece,3,0,21,1,7.00,0,0
418,2017/18,28th,Nov 25 2017,Luis Reece,2,0,13,1,6.50,1,0
41,2017/18,Qualifier,0 - 11 2017,Ravi Bopara,2,0,17,2,8.50,0,0
42,2017/18,Qualifier, Dec 8 2017,Abu Hider,3,0,14,1,4.66,1,0
146,2012/13,1st,Jan 18 2013,Kaushal Lokuarachchi,4,0,29,2,7.25,0,0
43,2017/18,"Eliminator,", Dec 8 2017,Carlos Brathwaite,2,0,30,0,15.00,3,0
48,2017/18,38th, Dec 3 2017,Ravi Bopara,2,0,4,2,2.00,0,0
46,2017/18,40th, Dec 5 2017,Sikandar Raza,4,0,16,4,4.00,0,0
41,2017/18,Qualifier,0 - 11 2017,Nazmul Islam,4,0,25,1,6.25,0,0
43,2017/18,"Eliminator,", Dec 8 2017,Afif Hossain,2,0,21,0,10.50,1,0
140,2012/13,7th,Jan 22 2013,Fidel Edwards,4,0,24,1,6.00,1,0
140,2012/13,7th,Jan 22 2013,Dimitri Mascarenhas,4,0,26,1,6.50,0,0
143,2012/13,4th,Jan 19 2013,Tapash Baisya,3,0,31,1,10.33,1,2
138,2012/13,9th,Jan 23 2013,Shafiul Islam,4,0,37,0,9.25,0,0
145,2012/13,2nd,Jan 18 2013,Azhar Mahmood,4,0,34,1,8.50,2,0
142,2012/13,5th,Jan 20 2013,Shafiul Islam,2,0,13,1,6.50,0,0
140,2012/13,7th,Jan 22 2013,Kevin O'Brien,3,0,18,1,6.00,1,0
141,2012/13,6th,Jan 20 2013,Sohag Gazi,4,0,33,2,8.25,1,0
139,2012/13,8th,Jan 22 2013,Monir Hossain,4,1,22,2,5.50,0,0
143,2012/13,4th,Jan 19 2013,Mohammad Sharif,4,0,40,0,10.00,0,0
144,2012/13,3rd,Jan 19 2013,Jacob Oram,4,0,15,1,3.75,1,0
138,2012/13,9th,Jan 23 2013,Kabir Ali,1,0,9,0,9.00,1,0
145,2012/13,2nd,Jan 18 2013,Kabir Ali,4,0,38,2,9.50,2,0
142,2012/13,5th,Jan 20 2013,Azhar Mahmood,4,0,33,1,8.25,1,0
140,2012/13,7th,Jan 22 2013,Abdur Razzak,4,0,26,1,6.50,1,0
141,2012/13,6th,Jan 20 2013,Dirk Nannes,4,0,27,0,6.75,0,2
137,2012/13,10th,Jan 23 2013,Dirk Nannes,4,0,20,2,5.00,2,0
139,2012/13,8th,Jan 22 2013,Naeem Islam jnr,4,0,23,1,5.75,2,0
143,2012/13,4th,Jan 19 2013,Abdur Razzak,4,0,36,1,9.00,0,1
144,2012/13,3rd,Jan 19 2013,Shaun Tait,4,0,30,0,7.50,5,1
136,2012/13,11th,Jan 24 2013,Nazmul Islam,2,0,22,0,11.00,1,0
135,2012/13,12th,Jan 24 2013,Monir Hossain,4,1,33,0,8.25,0,0
138,2012/13,9th,Jan 23 2013,Azhar Mahmood,3,0,23,0,7.66,1,0
134,2012/13,13th,Jan 25 2013,Dirk Nannes,4,0,27,2,6.75,1,0
145,2012/13,2nd,Jan 18 2013,Nazmul Islam,3,0,24,1,8.00,0,0
130,2012/13,17th,Jan 29 2013,Nazmul Hossain,1,0,10,0,10.00,1,0
142,2012/13,5th,Jan 20 2013,Nazmul Islam,3,0,28,0,9.33,1,0
140,2012/13,7th,Jan 22 2013,Taposh Ghosh,3,0,24,0,8.00,0,0
141,2012/13,6th,Jan 20 2013,Mohammad Nabi,4,0,18,1,4.50,0,0
137,2012/13,10th,Jan 23 2013,Sohag Gazi,4,0,20,2,5.00,1,0
139,2012/13,8th,Jan 22 2013,Ben Edmondson,3,0,39,1,13.00,1,0
143,2012/13,4th,Jan 19 2013,Amit Kumar,2,0,32,1,16.00,0,0
144,2012/13,3rd,Jan 19 2013,Mahmudullah,3,0,17,2,5.66,1,0
136,2012/13,11th,Jan 24 2013,Kabir Ali,4,0,27,2,6.75,0,0
135,2012/13,12th,Jan 24 2013,Moeen Ali,2,0,32,0,16.00,0,0
138,2012/13,9th,Jan 23 2013,Nazmul Islam,2,0,18,0,9.00,0,0
129,2012/13,18th,Jan 29 2013,Farhad Reza,4,0,25,1,6.25,1,0
