Product,Rate,Top_Sell_Rank,Popularity_Rank
DHARAM BOX,120.0,795,732
DHARAM BOX-METRO,40.0,177,136
DHARAM BOX-TIRUMALA,25.0,263,206
DHARAM-1/2 KG,75.0,589,404
DHARAM-15PCS,95.0,391,216
DHARAM-6PCS,1480.0,366,111
DHARAM-JAGADEESH,26.0,392,287
DHARAM-LALGUDA,26.0,747,655
DOME LID(80-DIA),95.0,774,732
DOME LIDS,50.0,803,732
DONA -LOOSE,35.0,163,73
DONA-(108),1980.0,594,353
DONA-100PCS(80),2400.0,803,571
DONA-100PCS(8200),2214.0,795,545
DONA-1100,2090.0,397,133
DONA-50PCS-(8100),2270.0,834,655
DONA-COL(84),2520.0,661,324
DONA-COLOUR(8100),2430.0,624,577
DONA-FOMEX(84),1932.0,717,349
DONA-VAI-9000,1640.0,795,732
DONA-VAI-9100,1944.0,221,15
DOT GLASS,33.0,60,87
DURGA 10*12 BK,15.0,38,96
DURGA 10*12 BLUE,110.0,4,50
DURGA 10*12 CL,7.0,65,249
DURGA 10*12 MW,8.0,238,614
DURGA 10*12 PINK,6.0,117,428
DURGA 13*16 BK,16.8,84,207
DURGA 13*16 BLUE,110.0,35,80
DURGA 13*16 CL,12.5,230,406
DURGA 13*16 PINK,8.94,301,732
EXCENT SP,55.0,774,732
FACE MASK,180.0,339,496
FANCY IC,149.0,67,40
FANCY WINE GLASS,25.5,607,732
FOM-HEX(121*70),2420.0,803,552
FOM-PRINT(50*120),6000.0,850,732
FOM-SPIRAL(143*50),2574.0,757,457
FOMEX(1350),1890.0,624,313
FORK BIG,40.0,150,112
FORK BIG CRYSTAL,25.5,371,511
FORK MED CRYSTAL,15.0,304,492
FORK-MED,15.5,199,274
FRESH GOLD 10*12,150.0,701,704
FRESH GOLD 13*16,160.0,670,608
FRESH GOLD 16*20,145.0,661,571
FRUIT FORK,35.0,286,251
GANESH 10*12,170.0,225,289
GANESH 13*16,260.0,188,236
GANESH 16*20,320.0,217,231
GANGA 10*12 100W,160.0,101,208
GANGA 13*16 100 B,16.0,457,626
GANGA 13*16 100W,16.0,269,442
GANGA 13*16 BLUE,18.0,540,732
GARBAGE BAG-SMALL,32.0,558,461
GARBAGE BAGS,10.0,747,712
GARBAGE BAGS-EXTRA ,70.0,257,421
GARBAGE BAGS-KGS,150.0,356,469
GARBAGE BAGS-LARGE,50.0,229,412
GARBAGE BAGS-MEDIUM,50.0,226,307
GARUDA 10*12 BK,8.0,27,108
GARUDA 10*12 BLUE,13.5,17,33
GARUDA 10*12 COLOUR,7.0,201,511
GARUDA 13*16 BK,14.0,47,102
GARUDA 13*16 BLUE,15.0,34,36
GARUDA 13*16 COLOUR,24.0,256,507
GARUDA 16*20 BK,28.0,218,236
